POREWATER,,,,,,,,,,,,,,WATER COLUMN,,,,,,,,,,Solid phase,,,,,,,IAPSO,,,,C14,,,,
CR2-1-10a,2,2650,6.8,2703.27,n.d.,291.6,2652.8,n.d.,n.d.,n.d.,n.d.,n.d.,,2,850.69,857.21,5.06,34.55,2349.78,7.379,2329.9,0.99,,5,2911,3.5,87.36,15.18,0.74,,,,,,,,,,
CR2-1-11a,2,2650,7.8,2715.7,n.d.,329.3,2767.9,n.d.,n.d.,n.d.,n.d.,n.d.,,2,751.39,756.97,5.7,34.55,2337.54,7.367,2304.6,0.98,,5,2911,4.5,86.04,18.29,0.7,,,,,,,,,,
CR2-1-13a,2,2650,9.8,2760.22,n.d.,334.7,2673.9,n.d.,n.d.,n.d.,n.d.,n.d.,,2,650.58,655.24,6.35,34.56,2330.81,7.347,2320.1,0.96,,5,2911,5.5,84.6,21.23,0.79,,,,,,,,,,
CR2-1-14,2,2650,10.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,2,575.5,579.52,7.02,34.57,2321.83,7.354,2315.2,1,,5,2911,7,83.57,28.24,0.67,,,,,,,,,,
CR2-1-15a,2,2650,18.8,2759.15,n.d.,341.3,2750.2,n.d.,n.d.,n.d.,n.d.,n.d.,,2,500.53,503.94,7.9,34.6,2315.97,7.351,2339.3,1.01,,5,2911,9,85.12,24.59,1.05,,,,,,,,,,
CR2-1-16,2,2650,23.8,2791.32,7.674,374.7,2713.6,-1.62,12.02,10.47,85.58,0.57,,2,425.34,428.16,9,34.63,2316.22,7.359,2296.2,1.06,,5,2911,11,82.13,31.73,0.82,,,,,,,,,,
CR2-1-17a,2,2650,28.8,2849.97,n.d.,385.2,2767,n.d.,n.d.,n.d.,n.d.,n.d.,,2,350.19,352.44,10.75,34.72,2302.97,7.39,2278,1.17,,5,2911,13,80.86,33.32,0.67,,,,,,,,,,
CR2-1-18a,2,2650,33.8,2843.42,n.d.,391.3,2761.2,n.d.,n.d.,n.d.,n.d.,n.d.,,2,225.68,227.06,12.66,34.83,2297.18,7.467,2253.2,1.46,,5,2911,15,83.11,30.56,0.91,,,,,,,,,,
CR2-1-19a,2,2650,6.2,2682.94,n.d.,293.9,2622.4,n.d.,n.d.,n.d.,n.d.,n.d.,,2,126.71,127.45,14.07,34.94,2297.99,7.56,2219.7,1.85,,5,2911,17,84.4,28.54,1.06,,,,,,,,,,
CR2-1-20,2,2650,7.2,2754.31,7.668,321.3,2657.9,-1.31,0.01,n.d.,n.d.,0.69,,2,45.66,45.92,17.31,34.8,2289.11,7.656,2173.6,2.35,,5,2911,19,85.19,26.94,1.28,,,,,,,,,,
CR2-1-21a,2,2650,8.2,2748.87,n.d.,320.6,2613.2,n.d.,n.d.,n.d.,n.d.,n.d.,,2,20.57,20.69,26.51,32.86,2169.54,8.03,1890.5,4.7,,5,2911,21,86.17,26.31,1.18,,,,,,,,,,
CR2-1-22,2,2650,9.2,2687.77,7.674,321.4,2604.4,-1.1,n.d.,n.d.,n.d.,0.78,,3,1649.98,1665.79,3.02,34.61,2399.38,7.457,2344.1,1,,5,2911,23,87.46,24,1.42,,,,,,,,,,
CR2-1-23a,2,2650,10.2,2724.32,n.d.,328.8,2624,n.d.,n.d.,n.d.,n.d.,n.d.,,3,1600.26,1615.4,3.1,34.61,2398.36,7.452,2350.5,1,,5,2911,25,84.58,25.33,1.41,,,,,,,,,,
CR2-1-24,2,2650,18.2,2800.83,7.69,377.7,2725.2,-1.6,15.01,n.d.,n.d.,0.73,,3,1500.48,1514.32,3.32,34.6,2392.89,7.447,2332.6,1.01,,5,2911,27,84.73,25.34,1.37,,,,,,,,,,
CR2-1-25a,2,2650,23.2,2845.36,n.d.,377.6,2737,n.d.,n.d.,n.d.,n.d.,n.d.,,3,1401.47,1414.06,3.49,34.6,2387.4,7.441,2333.7,1.02,,5,2911,29,85.02,26.61,1.43,,,,,,,,,,
CR2-1-26,2,2650,28.2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,3,1300.83,1312.2,3.74,34.59,2380.71,7.432,2332.6,1.02,,,,,,,,,,,,,,,,,
CR2-1-27,2,2650,33.2,2835.51,7.657,385.9,2765.7,-1.74,16.07,10.51,85.95,0.73,,3,1150.45,1160.09,4.25,34.58,2368.82,7.413,2337.5,1.01,,,,,,,,,,,,,,,,,
CR2-1-28a,2,2650,0.2,2502.78,n.d.,177.5,2396.4,n.d.,n.d.,n.d.,n.d.,n.d.,,3,1050.48,1059.03,4.64,34.57,2359.35,7.4,2321.4,1,,,,,,,,,,,,,,,,,
CR2-1-29,2,2650,0.7,2534.21,7.69,232.4,2465.6,-0.66,0.01,n.d.,n.d.,0.93,,3,900.96,907.97,5.17,34.56,2346.93,7.396,2318.2,1.02,,,,,,,,,,,,,,,,,
CR2-1-30a,2,2650,1.2,2590.86,n.d.,209.5,2551.6,n.d.,n.d.,n.d.,n.d.,n.d.,,3,800.33,806.35,5.66,34.57,2338.45,7.37,2307,0.98,,,,,,,,,,,,,,,,,
CR2-1-31a,2,2650,1.7,2638.55,n.d.,240.3,2555.6,n.d.,n.d.,n.d.,n.d.,n.d.,,3,700.75,705.85,6.19,34.57,2331.37,7.356,2323.3,0.97,,,,,,,,,,,,,,,,,
CR2-1-32,2,2650,2.2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,3,549.89,553.7,7.41,34.6,2318.46,7.353,2299.2,1,,,,,,,,,,,,,,,,,
CR2-1-33a,2,2650,7.2,2788.74,n.d.,347.8,2684.1,n.d.,n.d.,n.d.,n.d.,n.d.,,3,449.93,452.93,8.61,34.65,2311.68,7.361,2303.1,1.05,,,,,,,,,,,,,,,,,
CR2-1-34a,2,2650,8.2,2832.24,n.d.,334.4,2663.7,n.d.,n.d.,n.d.,n.d.,n.d.,,3,375.57,378.01,9.4,34.68,2309.28,7.366,2276.4,1.09,,,,,,,,,,,,,,,,,
CR2-1-35,2,2650,9.2,2763.1,7.673,346.9,2685.9,-1.44,6.74,n.d.,n.d.,0.97,,3,300.56,302.46,10.8,34.74,2301.05,7.398,2271.5,1.21,,,,,,,,,,,,,,,,,
CR2-1-36a,2,2650,10.2,2745.8,n.d.,349.2,2735.5,n.d.,n.d.,n.d.,n.d.,n.d.,,3,225.43,226.81,12.32,34.82,2296.59,7.463,2248.5,1.44,,,,,,,,,,,,,,,,,
CR2-1-55,2,2650,1,2468.95,n.d.,165.6,2354,-0.08,0,n.d.,n.d.,n.d.,,3,151.42,152.32,13.68,34.9,2297.24,7.514,2242.1,1.66,,,,,,,,,,,,,,,,,
CR2-1-56,2,2650,3,2533.2,7.727,218.9,2466.3,-0.51,0,n.d.,n.d.,0.58,,3,100.7,101.29,14.64,34.92,2296.92,7.549,2220.5,1.82,,,,,,,,,,,,,,,,,
CR2-1-57,2,2650,5,2644.41,7.692,284.9,2589.8,-1.08,0,10.49,85.6,0.57,,3,70.62,71.02,16.33,34.9,2292.24,7.604,2210.3,2.08,,,,,,,,,,,,,,,,,
CR2-1-58,2,2650,7,2709.99,7.695,326.6,2586.8,-1.35,2.6,n.d.,n.d.,0.68,,3,41.56,41.79,22.36,34.19,2258.44,7.836,2085.8,3.39,,,,,,,,,,,,,,,,,
CR2-1-59,2,2650,9,2714.36,7.701,341.6,2666.4,-1.34,7.59,n.d.,n.d.,0.74,,3,21.58,21.7,26.82,32.75,2166.15,8.066,1895.7,5,,,,,,,,,,,,,,,,,
CR2-1-60,2,2650,14,2792.86,7.701,356.3,2701.3,-1.45,12.93,n.d.,n.d.,0.66,,3,11.62,11.69,27.06,32.78,2166.08,8.062,1903.2,4.98,,,,,,,,,,,,,,,,,
CR2-2-19,2,2650,4.3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,5,2899.28,2935.83,1.84,34.66,2435.07,7.52,2368.3,0.89,,,,,,,,,,,,,,,,,
CR2-2-20a,2,2650,5.3,2677.5,n.d.,271,2750,n.d.,n.d.,n.d.,n.d.,n.d.,,5,2799.94,2834.57,1.83,34.66,2437.68,7.52,2349.6,0.91,,,,,,,,,,,,,,,,,
CR2-2-21a,2,2650,6.3,2701.57,n.d.,295.4,2660.6,n.d.,n.d.,n.d.,n.d.,n.d.,,5,2499.74,2528.86,1.9,34.66,2432.93,7.512,2371.5,0.95,,,,,,,,,,,,,,,,,
CR2-2-22a,2,2650,7.3,2751.92,n.d.,300.5,2620.2,n.d.,n.d.,n.d.,n.d.,n.d.,,5,2350.54,2377.08,2.01,34.65,2430.69,7.504,2363.1,0.96,,,,,,,,,,,,,,,,,
CR2-2-23,2,2650,8.3,2687.75,7.662,334.4,2652.9,0.14,n.d.,10.5,85.77,0.64,,5,2200.26,2224.32,2.22,34.64,2423.22,7.493,2372.4,0.97,,,,,,,,,,,,,,,,,
CR2-2-24a,2,2650,16.3,2826.41,n.d.,367.7,2740,n.d.,n.d.,n.d.,n.d.,n.d.,,5,2000.66,2021.57,2.42,34.63,2419.91,7.479,2370.9,0.98,,,,,,,,,,,,,,,,,
CR2-2-25a,2,2650,21.3,2812.29,n.d.,378.8,2718.2,n.d.,n.d.,n.d.,n.d.,n.d.,,5,1800.15,1818.1,2.68,34.62,2409.44,7.465,2360.8,0.99,,,,,,,,,,,,,,,,,
CR2-2-26,2,2650,26.3,2843.95,7.677,388,2743.6,-0.33,n.d.,n.d.,n.d.,0.71,,5,1550.21,1564.73,3.09,34.61,2398.49,7.445,2355.9,1,,,,,,,,,,,,,,,,,
CR2-2-27a,2,2650,31.3,2919.73,n.d.,392.3,2731.9,n.d.,n.d.,n.d.,n.d.,n.d.,,5,1300.56,1311.96,3.72,34.59,2382.45,7.42,2337.7,0.99,,,,,,,,,,,,,,,,,
CR2-2-37,2,2650,1.3,2484.15,7.724,194.2,2375.2,1.55,n.d.,n.d.,n.d.,0.87,,5,1050.09,1058.65,4.53,34.57,2361.15,7.384,2336,0.96,,,,,,,,,,,,,,,,,
CR2-2-38a,2,2650,1.8,2581.01,n.d.,223.6,2497.2,n.d.,n.d.,n.d.,n.d.,n.d.,,5,800.13,806.18,5.89,34.57,2334.86,7.369,2305.6,0.98,,,,,,,,,,,,,,,,,
CR2-2-39a,2,2650,2.3,2519.29,n.d.,221.5,2518.2,n.d.,n.d.,n.d.,n.d.,n.d.,,5,650.21,654.89,6.92,34.59,2323.74,7.35,2315.9,0.97,,,,,,,,,,,,,,,,,
CR2-2-40a,2,2650,2.8,2645.96,n.d.,246.9,2560.1,n.d.,n.d.,n.d.,n.d.,n.d.,,5,475.32,478.53,8.51,34.63,2317.98,7.353,2306.6,1.03,,,,,,,,,,,,,,,,,
CR2-2-41,2,2650,3.3,2646.89,7.674,282.8,2626.2,0.28,n.d.,n.d.,n.d.,0.89,,5,400.17,402.8,9.66,34.68,2309.54,7.37,2291.9,1.1,,,,,,,,,,,,,,,,,
CR2-2-42a,2,2650,8.3,2821.05,n.d.,332.6,2686.6,n.d.,n.d.,n.d.,n.d.,n.d.,,5,275.32,277.05,11.76,34.79,2297.41,7.445,2249.9,1.36,,,,,,,,,,,,,,,,,
CR2-2-43,2,2650,9.3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,5,104.99,105.6,14.18,34.92,2295.6,7.536,2174.2,1.77,,,,,,,,,,,,,,,,,
CR2-2-44a,2,2650,10.3,2803.52,n.d.,321.3,2693.8,n.d.,n.d.,n.d.,n.d.,n.d.,,5,85.09,85.58,14.82,34.93,2295.3,7.545,2219.3,1.82,,,,,,,,,,,,,,,,,
CR2-2-45a,2,2650,11.3,2799.14,n.d.,n.d.,2715.5,n.d.,n.d.,n.d.,n.d.,n.d.,,5,64.92,65.3,15.81,34.92,2293.99,7.591,2168.8,2.02,,,,,,,,,,,,,,,,,
CR2-2-46,2,2650,2.1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,5,54.92,55.23,16.65,34.9,2293.11,7.627,2161.3,2.2,,,,,,,,,,,,,,,,,
CR2-2-47,2,2650,2.6,2535.44,7.704,207.6,2444.4,1.3,n.d.,10.38,85.18,0.89,,5,44.89,45.14,18.43,34.74,2285.18,7.688,2114.9,2.51,,,,,,,,,,,,,,,,,
CR2-2-48,2,2650,3.1,2568.2,7.689,240.5,2521.6,0.88,n.d.,n.d.,n.d.,0.81,,5,35.31,35.51,20.31,34.59,2276.03,7.758,2100,2.92,,,,,,,,,,,,,,,,,
CR2-2-49,2,2650,3.6,2504.88,7.69,274.6,2606.3,0.27,n.d.,n.d.,n.d.,0.69,,5,25.43,25.574,24.4465,33.9588,2225.79,7.947,1967.3,4.16,,,,,,,,,,,,,,,,,
CR2-2-50a,2,2650,4,2722.51,n.d.,299.8,2668.1,n.d.,n.d.,n.d.,n.d.,n.d.,,5,14.95,15.033,26.7833,32.7962,2169.6,8.044,1874.1,4.82,,,,,,,,,,,,,,,,,
CR2-2-51a,2,2650,9.1,2760.73,n.d.,321.2,2667.9,n.d.,n.d.,n.d.,n.d.,n.d.,,5,7.02,7.061,26.7799,32.7939,2165.74,8.044,1915,4.83,,,,,,,,,,,,,,,,,
CR2-2-52,2,2650,10.1,2749.57,7.666,355,2703.1,-0.07,n.d.,n.d.,n.d.,0.52,,5,1600.81,1616.003,2.9954,34.6118,2402.07,7.447,n.d.,0.99,,,,,,,,,,,,,,,,,
CR2-2-53,2,2650,11.1,2784.37,7.684,354,2707.1,-0.12,n.d.,n.d.,n.d.,0.61,,5,1474.95,1488.5,3.2525,34.603,2394.29,7.438,n.d.,0.99,,,,,,,,,,,,,,,,,
CR2-2-54,2,2650,12,2782.32,7.673,358.1,2726.3,-0.13,n.d.,10.54,86.08,0.92,,5,1399.77,1412.369,3.4276,34.5978,2389.98,7.429,n.d.,0.99,,,,,,,,,,,,,,,,,
CR2-2-55,2,2650,0.6,2445.07,7.732,163.5,2367.6,1.73,n.d.,10.26,84.61,0.78,,5,1250.33,1261.14,3.7934,34.5862,2380.75,7.415,n.d.,0.99,,,,,,,,,,,,,,,,,
CR2-2-56,2,2650,3.8,2635.09,7.682,280.8,2604.4,0.51,n.d.,10.45,85.64,0.88,,5,1149.57,1159.225,4.1036,34.5794,2371.43,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,
CR2-2-57,2,2650,0.8,2439.89,7.73,164.7,2372.9,1.71,n.d.,n.d.,n.d.,0.48,,5,975.07,982.841,4.7862,34.57,2356.62,7.385,2358.2,0.98,,,,,,,,,,,,,,,,,
CR2-2-58,2,2650,1.8,2496.73,7.743,164.4,2359.4,1.75,n.d.,n.d.,n.d.,0.78,,5,874.94,881.703,5.2792,34.5675,2346.38,7.377,2342.2,0.98,,,,,,,,,,,,,,,,,
CR2-2-59,2,2650,4.8,2714.7,7.678,288,2628.7,0.36,n.d.,n.d.,n.d.,0.54,,5,725.25,730.593,6.3232,34.5759,2330.19,7.36,2326.8,0.97,,,,,,,,,,,,,,,,,
CR2-2-60,2,2650,6.8,2665.74,7.678,327.1,2685.6,0.13,n.d.,n.d.,n.d.,0.82,,5,575.32,579.345,7.3511,34.599,2320.12,7.349,2322.1,0.99,,,,,,,,,,,,,,,,,
CR2-2-61,2,2650,2.8,2594.42,7.691,249.8,2525.1,0.68,n.d.,n.d.,n.d.,0.98,,5,525.13,528.742,7.7604,34.6099,2316.14,7.358,n.d.,1.02,,,,,,,,,,,,,,,,,
CR2-2-62,2,2650,10.8,2861.87,7.713,354,2714,-0.1,n.d.,n.d.,n.d.,0.91,,5,349.95,352.208,10.7651,34.729,2300.72,7.393,n.d.,1.18,,,,,,,,,,,,,,,,,
CR3-1-0,3,1630,0,2399.38,7.697,131.9,2353.5,-0.09,0,10.32,84.96,0.86,,5,250.76,252.321,12.2827,34.8193,n.d.,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,
CR3-1-01a,3,1630,3.4,2573.56,n.d.,251.6,2567,n.d.,n.d.,n.d.,n.d.,n.d.,,5,199.91,201.13,13.0689,34.8754,2297.65,7.479,n.d.,1.51,,,,,,,,,,,,,,,,,
CR3-1-02,3,1630,4.4,2617.2,7.617,275.3,2583.5,0.12,1.76,n.d.,n.d.,0.93,,5,175.16,176.213,13.4322,34.9021,n.d.,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,
CR3-1-03,3,1630,5.4,2641.2,7.628,276.3,2599.9,0.03,2.95,10.43,85.38,0.96,,5,150.07,150.966,13.7735,34.9149,n.d.,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,
CR3-1-04,3,1630,6.4,2666.3,7.63,290.6,2625.2,-0.24,0,n.d.,n.d.,0.98,,5,124.98,125.721,14.1447,34.922,n.d.,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,
CR3-1-05,3,1630,7.4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,5,99.91,100.492,14.6637,34.9387,2295.89,7.554,n.d.,1.84,,,,,,,,,,,,,,,,,
CR3-1-06,3,1630,15.4,2741.64,7.632,312,2676.6,-0.32,4.03,n.d.,n.d.,1.01,,5,80.05,80.511,15.2278,34.9412,n.d.,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,
CR3-1-07,3,1630,20.4,2748.2,7.637,311.9,2699.9,-0.34,4.25,10.48,86.61,1.02,,5,60.47,60.82,16.3466,34.9201,n.d.,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,
CR3-1-08a,3,1630,25.4,2766.23,n.d.,315.9,2820.7,n.d.,n.d.,n.d.,n.d.,n.d.,,5,50.28,50.568,17.5116,34.84,2290.83,7.648,n.d.,2.31,,,,,,,,,,,,,,,,,
CR3-1-09,3,1630,30.4,2786.45,7.647,321.1,2717.1,-0.45,3.83,10.51,86.64,1.06,,5,40.3,40.532,19.1452,34.682,n.d.,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,
CR3-1-10a,3,1630,3.8,2621.47,n.d.,247.4,2569.8,n.d.,n.d.,n.d.,n.d.,n.d.,,5,30.38,30.556,21.0037,34.5013,n.d.,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,
CR3-1-11a,3,1630,4.8,2656.58,n.d.,263.7,2614.7,n.d.,n.d.,n.d.,n.d.,n.d.,,5,19.96,20.067,26.9861,32.6557,n.d.,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,
CR3-1-12,3,1630,5.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,5,10.3,10.359,26.9403,32.5064,n.d.,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,
